t,mode,q1,q2,q3,q4,q5,q6,ee_x,ee_y,ee_z,des_x,des_y,des_z
1.1905,joint,0.020830,0.000000,0.000000,0.000000,0.000000,0.000000,1.999566,0.041657,0.000000,1.999566,0.041657,0.000000
1.2005,joint,0.021314,0.000000,0.000000,0.000000,0.000000,0.000000,1.999546,0.042625,0.000000,1.999546,0.042625,0.000000
1.2105,joint,0.021806,0.000000,0.000000,0.000000,0.000000,0.000000,1.999525,0.043609,0.000000,1.999525,0.043609,0.000000
1.2205,joint,0.022305,0.000000,0.000000,0.000000,0.000000,0.000000,1.999503,0.044606,0.000000,1.999503,0.044606,0.000000
1.2310,joint,0.022834,0.000000,0.000000,0.000000,0.000000,0.000000,1.999479,0.045664,0.000000,1.999479,0.045664,0.000000
1.2410,joint,0.023345,0.000000,0.000000,0.000000,0.000000,0.000000,1.999455,0.046685,0.000000,1.999455,0.046685,0.000000
1.2505,joint,0.023838,0.000000,0.000000,0.000000,0.000000,0.000000,1.999432,0.047672,0.000000,1.999432,0.047672,0.000000
1.2608,joint,0.024378,0.000000,0.000000,0.000000,0.000000,0.000000,1.999406,0.048751,0.000000,1.999406,0.048751,0.000000
1.2708,joint,0.024914,0.000000,0.000000,0.000000,0.000000,0.000000,1.999379,0.049823,0.000000,1.999379,0.049823,0.000000
1.2806,joint,0.025439,0.000000,0.000000,0.000000,0.000000,0.000000,1.999353,0.050872,0.000000,1.999353,0.050872,0.000000
1.2904,joint,0.025977,0.000000,0.000000,0.000000,0.000000,0.000000,1.999325,0.051948,0.000000,1.999325,0.051948,0.000000
1.3005,joint,0.026531,0.000000,0.000000,0.000000,0.000000,0.000000,1.999296,0.053057,0.000000,1.999296,0.053057,0.000000
1.3104,joint,0.027086,0.000000,0.000000,0.000000,0.000000,0.000000,1.999266,0.054166,0.000000,1.999266,0.054166,0.000000
1.3206,joint,0.027662,0.000000,0.000000,0.000000,0.000000,0.000000,1.999235,0.055316,0.000000,1.999235,0.055316,0.000000
1.3309,joint,0.028255,0.000000,0.000000,0.000000,0.000000,0.000000,1.999202,0.056502,0.000000,1.999202,0.056502,0.000000
1.3409,joint,0.028834,0.000000,0.000000,0.000000,0.000000,0.000000,1.999169,0.057660,0.000000,1.999169,0.057660,0.000000
1.3507,joint,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,1.999135,0.058816,0.000000,1.999135,0.058816,0.000000
1.3608,joint,0.030013,0.000000,0.000000,0.000000,0.000000,0.000000,1.999099,0.060017,0.000000,1.999099,0.060017,0.000000
1.3711,joint,0.030630,0.000000,0.000000,0.000000,0.000000,0.000000,1.999062,0.061250,0.000000,1.999062,0.061250,0.000000
1.3806,joint,0.031209,0.000000,0.000000,0.000000,0.000000,0.000000,1.999026,0.062409,0.000000,1.999026,0.062409,0.000000
1.3905,joint,0.031818,0.000000,0.000000,0.000000,0.000000,0.000000,1.998988,0.063625,0.000000,1.998988,0.063625,0.000000
1.4005,joint,0.032440,0.000000,0.000000,0.000000,0.000000,0.000000,1.998948,0.064868,0.000000,1.998948,0.064868,0.000000
1.4108,joint,0.033089,0.000000,0.000000,0.000000,0.000000,0.000000,1.998905,0.066166,0.000000,1.998905,0.066166,0.000000
1.4206,joint,0.033713,0.000000,0.000000,0.000000,0.000000,0.000000,1.998864,0.067413,0.000000,1.998864,0.067413,0.000000
1.4313,joint,0.034402,0.000000,0.000000,0.000000,0.000000,0.000000,1.998817,0.068791,0.000000,1.998817,0.068791,0.000000
1.4432,joint,0.035178,0.000000,0.000000,0.000000,0.000000,0.000000,1.998763,0.070341,0.000000,1.998763,0.070341,0.000000
1.4509,joint,0.035682,0.000000,0.000000,0.000000,0.000000,0.000000,1.998727,0.071348,0.000000,1.998727,0.071348,0.000000
1.4606,joint,0.036326,0.000000,0.000000,0.000000,0.000000,0.000000,1.998681,0.072636,0.000000,1.998681,0.072636,0.000000
1.4707,joint,0.037007,0.000000,0.000000,0.000000,0.000000,0.000000,1.998631,0.073998,0.000000,1.998631,0.073998,0.000000
1.4807,joint,0.037685,0.000000,0.000000,0.000000,0.000000,0.000000,1.998580,0.075353,0.000000,1.998580,0.075353,0.000000
1.4907,joint,0.038370,0.000000,0.000000,0.000000,0.000000,0.000000,1.998528,0.076722,0.000000,1.998528,0.076722,0.000000
1.5018,joint,0.039139,0.000000,0.000000,0.000000,0.000000,0.000000,1.998468,0.078258,0.000000,1.998468,0.078258,0.000000
1.5107,joint,0.039762,0.000000,0.000000,0.000000,0.000000,0.000000,1.998419,0.079504,0.000000,1.998419,0.079504,0.000000
1.5208,joint,0.040477,0.000000,0.000000,0.000000,0.000000,0.000000,1.998362,0.080931,0.000000,1.998362,0.080931,0.000000
1.5305,joint,0.041174,0.000000,0.000000,0.000000,0.000000,0.000000,1.998305,0.082324,0.000000,1.998305,0.082324,0.000000
1.5420,joint,0.042002,0.000000,0.000000,0.000000,0.000000,0.000000,1.998236,0.083979,0.000000,1.998236,0.083979,0.000000
